<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRQ,D,20260417,000000,220,220,212,220,35193,0
CRQ,D,20260420,000000,260,286,251,259.95,208020,0
CRQ,D,20260421,000000,264.5,264.5,222,223.1,105430,0
CRQ,D,20260422,000000,223.1,224.9,180.72,191.98,169871,0
CRQ,D,20260423,000000,188.14,234.5,188,217,88240,0
CRQ,D,20260424,000000,221.85,223.95,205,212,19591,0
CRQ,D,20260427,000000,210,210.3,188.1,188.1,27378,0
CRQ,D,20260428,000000,197,197,186,191,18475,0
CRQ,D,20260429,000000,196,207,181.62,199,47614,0
CRQ,D,20260430,000000,200,206.55,195.04,196.2,8220,0
CRQ,D,20260504,000000,200,202,188.8,191.2,7945,0
CRQ,D,20260505,000000,182,191.2,176,189.78,35260,0
CRQ,D,20260506,000000,190,230,190,224,56177,0
CRQ,D,20260507,000000,224,224,205,216.95,21698,0
CRQ,D,20260508,000000,216.8,216.9,209.5,211,5856,0
CRQ,D,20260511,000000,220,250,219,237,34781,0
CRQ,D,20260512,000000,242,255,235.1,244,23904,0
CRQ,D,20260513,000000,250,264,245.05,253.95,31180,0
CRQ,D,20260514,000000,258,270,248,267,28815,0
CRQ,D,20260515,000000,267,274,255,255,22425,0
