<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
S2B,D,20260416,000000,44,44,32.08,35.7,770637,0
S2B,D,20260417,000000,37,47.4,35.745,42.69,519917,0
S2B,D,20260420,000000,42.68,42.68,39.94,40.45,321858,0
S2B,D,20260421,000000,40.995,40.995,37.015,37.21,220672,0
S2B,D,20260422,000000,36.805,37,33.4,33.72,407332,0
S2B,D,20260423,000000,33.5,35.5,32.6,35.2,152156,0
S2B,D,20260424,000000,35.73,35.9,32.53,32.7,143993,0
S2B,D,20260427,000000,33,33.795,32,32,115497,0
S2B,D,20260428,000000,31.8,31.8,29,29,111920,0
S2B,D,20260429,000000,28.205,29.99,28,28.49,130046,0
S2B,D,20260430,000000,28.3,29.195,27.38,29,51853,0
S2B,D,20260504,000000,29,29,26.58,27,96824,0
S2B,D,20260505,000000,27.3,28.5,26.2,26.7,99864,0
S2B,D,20260506,000000,26.6,30.54,26.5,28.95,116537,0
S2B,D,20260507,000000,28.975,30,28,28,56323,0
S2B,D,20260508,000000,28.005,29.45,27.805,29.1,30896,0
S2B,D,20260511,000000,29.5,30,27.77,27.8,66052,0
S2B,D,20260512,000000,28.195,28.975,27,28.7,21468,0
S2B,D,20260513,000000,28.71,29.3,28.12,28.85,23491,0
S2B,D,20260514,000000,28.85,31.75,28.6,31.75,114433,0
S2B,D,20260515,000000,33,34.5,32.255,33.24,88236,0
