<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXT,D,20140411,000000,10.9208,10.9208,10.2737,10.4743,241592.80161359726,0
TXT,D,20140414,000000,10.4117,10.4117,10.1063,10.1901,65426.41746892484,0
TXT,D,20140415,000000,10.1901,10.2857,10.1336,10.184,5847.6785507783225,0
TXT,D,20140416,000000,10.184,10.2639,10.1336,10.1336,5753.53270092917,0
TXT,D,20140417,000000,10.0761,10.3031,10.0761,10.1901,6274.657222001316,0
TXT,D,20140422,000000,10.3536,10.5257,10.2194,10.5007,3817.566904643322,0
TXT,D,20140423,000000,10.4743,10.5316,10.4176,10.5007,12396.758364334859,0
TXT,D,20140424,000000,10.5007,10.5007,10.4961,10.4961,1607.1132661266063,0
TXT,D,20140425,000000,10.4056,10.4743,10.1901,10.4743,15600.457787583338,0
TXT,D,20140428,000000,10.5007,10.5007,10.1961,10.4684,1444.0192023414897,0
TXT,D,20140429,000000,10.4684,10.4684,10.1901,10.4684,2580.40321922233,0
TXT,D,20140430,000000,10.5007,10.5007,10.1901,10.4117,5525.459839310081,0
TXT,D,20140502,000000,10.4622,10.4622,10.1901,10.1901,6338.309256097089,0
TXT,D,20140505,000000,10.4176,10.4503,10.2474,10.2474,1219.9157568243936,0
TXT,D,20140506,000000,10.2474,10.3612,10.1901,10.2474,2152.0977842611355,0
TXT,D,20140507,000000,10.1901,10.1961,10.0657,10.1569,11839.843847669139,0
TXT,D,20140508,000000,10.1569,10.1621,10.1371,10.1371,2715.6569947304642,0
TXT,D,20140509,000000,10.144,10.144,10.0196,10.0196,1272.9645561271739,0
TXT,D,20140512,000000,10.0196,10.0716,9.46547,9.73683,102561.22948762761,0
TXT,D,20140513,000000,9.84609,9.84609,9.62353,9.72701,4465.984618794405,0
TXT,D,20140514,000000,9.63494,9.63494,9.56781,9.63494,24596.02468370488,0
TXT,D,20140515,000000,9.62353,9.90646,9.62353,9.90646,535.7058720572165,0
TXT,D,20140516,000000,9.90121,9.90646,9.62353,9.90121,4050.9468212152096,0
TXT,D,20140519,000000,9.87778,9.87778,9.87778,9.87778,13.260024803173462,0
TXT,D,20140520,000000,9.68551,9.7096,9.4434,9.69066,2673.222305333283,0
TXT,D,20140521,000000,9.68551,9.69746,9.42684,9.65232,1372.4065858165188,0
TXT,D,20140522,000000,9.70279,10.1569,9.62353,10.1569,5630.219799064834,0
TXT,D,20140523,000000,10.1063,10.184,10.1063,10.184,1786.1284947701217,0
TXT,D,20140526,000000,10.184,10.2194,10.184,10.2194,6.630023276699339,0
TXT,D,20140527,000000,10.1901,10.1901,10.049,10.1778,1180.1454700162205,0
TXT,D,20140528,000000,10.184,10.184,10.184,10.184,13.260024803173462,0
TXT,D,20140529,000000,10.0761,10.0761,9.96372,10.0196,765.1054974145043,0
TXT,D,20140530,000000,9.96372,10.4684,9.79399,10.4684,8917.385711581217,0
TXT,D,20140602,000000,10.4442,10.4442,10.0761,10.1569,2038.0613534515917,0
TXT,D,20140603,000000,10.1901,10.1901,9.64781,10.1063,438.90758224292415,0
TXT,D,20140604,000000,9.73683,10.1063,9.73683,10.0761,1254.4007389049832,0
TXT,D,20140605,000000,9.85134,9.99026,9.85134,9.99026,684.2185848572636,0
TXT,D,20140606,000000,10.0761,10.3319,9.97432,9.97432,20622.04103441787,0
TXT,D,20140609,000000,10.1569,10.3883,9.90646,10.3883,7132.583980549296,0
TXT,D,20140610,000000,10.4563,10.4622,10.3612,10.3612,4984.455612390152,0
TXT,D,20140611,000000,10.3612,10.3612,10.1901,10.3205,1965.1328483010288,0
TXT,D,20140612,000000,10.3205,10.3205,10.3031,10.3159,555.5964530176071,0
TXT,D,20140613,000000,10.1901,10.3084,10.1901,10.3084,1315.388370411747,0
TXT,D,20140616,000000,10.3031,10.3031,9.96372,10.2692,1702.5858797139595,0
TXT,D,20140617,000000,10.3084,10.3084,10.0875,10.3031,2915.8786929599614,0
TXT,D,20140618,000000,10.2972,10.3319,10.2972,10.3031,788.9731070557123,0
TXT,D,20140620,000000,10.3319,10.3319,10.3031,10.3319,617.9184608413964,0
TXT,D,20140623,000000,10.3031,10.3031,10.3031,10.3031,59.670220365406664,0
TXT,D,20140624,000000,10.3476,10.3476,10.1336,10.3265,983.8964504224969,0
TXT,D,20140625,000000,10.3455,10.3455,10.3031,10.3031,778.3655222176778,0
TXT,D,20140626,000000,9.94204,10.2972,9.94204,10.2972,4420.896401920823,0
TXT,D,20140627,000000,10.3031,10.3031,10.2474,10.2474,19.890037204760194,0
TXT,D,20140630,000000,10.2918,10.2918,10.0814,10.1901,771.7349660604607,0
TXT,D,20140701,000000,10.1901,10.1901,9.96372,9.96372,287.7424294777381,0
TXT,D,20140702,000000,10.1063,10.1336,9.82189,10.1336,6428.474814731642,0
TXT,D,20140703,000000,10.1336,10.1336,10.1336,10.1336,13.260024803173462,0
TXT,D,20140704,000000,10.1336,10.1336,10.1336,10.1336,13.260024803173462,0
TXT,D,20140707,000000,10.1336,10.1336,10.1289,10.1289,2667.9152503804835,0
TXT,D,20140708,000000,10.1336,10.1336,10.0761,10.1176,3594.8010979770343,0
TXT,D,20140709,000000,10.1176,10.1176,9.85134,10.1108,1823.256129214503,0
TXT,D,20140710,000000,10.1108,10.1108,9.82189,10.0927,4444.767274095814,0
TXT,D,20140711,000000,10.0927,10.0927,9.85134,10.0196,2410.675336746214,0
TXT,D,20140714,000000,9.79924,10.0595,9.79924,10.0595,2349.6768301268417,0
TXT,D,20140715,000000,10.0595,10.0595,9.83482,9.99026,1137.7107806190397,0
TXT,D,20140716,000000,10.0595,10.0595,9.71485,9.87176,1821.929365476303,0
TXT,D,20140717,000000,9.92979,9.92979,9.62353,9.90646,3082.9639230722864,0
TXT,D,20140718,000000,9.90121,10.0595,9.67861,10.0595,1959.8366684608377,0
TXT,D,20140721,000000,9.90646,9.90646,9.62353,9.82189,3236.781515802612,0
TXT,D,20140722,000000,9.84609,9.91842,9.79399,9.79399,115.36210703648304,0
TXT,D,20140723,000000,9.73683,9.79399,9.73683,9.79399,395.1493916413256,0
TXT,D,20140724,000000,9.79399,9.79399,9.75938,9.75938,3202.2965337220216,0
TXT,D,20140725,000000,9.89587,9.89587,9.6696,9.72091,16276.672289560967,0
TXT,D,20140728,000000,9.9539,9.9539,9.87778,9.87778,5305.3475601201935,0
TXT,D,20140729,000000,9.5428,9.80458,9.5428,9.68781,14575.369673134775,0
TXT,D,20140730,000000,9.7118,9.7118,9.60174,9.65985,436.2551422777852,0
TXT,D,20140731,000000,9.64863,9.64863,9.53167,9.64863,4133.1517974205635,0
TXT,D,20140801,000000,9.68781,9.68781,9.25489,9.67567,7708.073189549817,0
TXT,D,20140804,000000,9.60174,9.77289,9.60174,9.74052,7002.637259993961,0
TXT,D,20140805,000000,9.83316,9.83316,9.36956,9.36956,1343.2395338013373,0
TXT,D,20140806,000000,9.39816,9.39816,9.25489,9.25489,8913.405420366618,0
TXT,D,20140807,000000,9.24809,9.24809,8.67562,9.0581,29336.48626961754,0
TXT,D,20140808,000000,9.0581,9.0581,8.32944,8.79176,16254.160806462003,0
TXT,D,20140811,000000,8.90109,8.90109,8.78574,8.79176,3476.7843759528905,0
TXT,D,20140812,000000,8.92981,8.92981,8.67562,8.78574,145.86027283490807,0
TXT,D,20140813,000000,8.92456,8.92456,8.79176,8.79176,184.3146710174894,0
TXT,D,20140814,000000,8.92981,8.92981,8.53249,8.79176,599.3546436192056,0
TXT,D,20140818,000000,8.92981,8.92981,8.58968,8.85061,847.3180861986842,0
TXT,D,20140819,000000,8.84468,8.84468,8.67562,8.79176,1250.4204476903838,0
TXT,D,20140820,000000,8.79176,8.79176,8.56023,8.79176,1851.0964174914852,0
TXT,D,20140821,000000,8.79176,8.79176,8.67562,8.67562,230.72421407296608,0
TXT,D,20140822,000000,8.7059,8.79176,8.7059,8.79176,967.9839856541845,0
TXT,D,20140825,000000,8.6817,9.25489,8.6817,8.96443,1182.788122380012,0
TXT,D,20140826,000000,8.96443,8.96443,8.7059,8.78574,94.14639360478374,0
TXT,D,20140827,000000,8.78574,8.78574,8.73371,8.78574,1051.5222506653033,0
TXT,D,20140828,000000,8.78574,8.78574,8.67562,8.67562,17968.622309144113,0
TXT,D,20140829,000000,8.67562,8.67562,8.42069,8.56023,23142.783385871637,0
TXT,D,20140901,000000,8.67562,8.67562,8.21271,8.67031,20889.89505795774,0
TXT,D,20140902,000000,8.67562,8.67562,8.38823,8.67031,6164.601082406372,0
TXT,D,20140903,000000,8.44495,9.25489,8.44495,9.25489,3720.7675273177692,0
TXT,D,20140904,000000,9.25489,9.31282,9.02923,9.30694,5004.346193350542,0
TXT,D,20140905,000000,9.31282,9.31282,8.90719,8.90719,1379.0404045075184,0
TXT,D,20140908,000000,8.96443,8.96443,8.67562,8.95932,2012.8745926510098,0
TXT,D,20140909,000000,8.95932,8.95932,8.61834,8.67562,244611.73287363246,0
TXT,D,20140910,000000,8.76251,8.76251,8.67562,8.72024,244806.39738931917,0
TXT,D,20140911,000000,9.24275,9.24275,8.85061,8.87855,3154.565664484649,0
TXT,D,20140912,000000,8.93583,9.19074,8.93583,9.19074,71016.8778562941,0
TXT,D,20140915,000000,9.24809,9.57167,9.19687,9.37553,36335.16498862213,0
TXT,D,20140916,000000,9.36956,9.6078,9.36956,9.60174,60929.9934099401,0
TXT,D,20140917,000000,9.6124,10.1167,9.6124,9.84541,44698.34408657705,0
TXT,D,20140918,000000,9.99998,10.1222,9.84541,10.1222,46320.040878711254,0
TXT,D,20140919,000000,10.3467,10.3467,10.3198,10.3198,786.3217546018341,0
TXT,D,20140922,000000,10.398,10.398,10.1787,10.2889,1180.1454700162205,0
TXT,D,20140923,000000,10.2949,10.4918,10.2889,10.4117,5817.184735024941,0
TXT,D,20140924,000000,10.4117,10.4117,10.3523,10.4117,10125.382344987029,0
TXT,D,20140925,000000,10.4117,10.4117,10.0235,10.4117,6950.91522442938,0
TXT,D,20140926,000000,10.1336,10.4117,10.1281,10.4117,5497.619551033099,0
TXT,D,20140929,000000,10.4117,10.5845,10.3523,10.5783,15820.570066773227,0
TXT,D,20140930,000000,10.5783,10.5845,10.2383,10.5845,28579.360929834933,0
TXT,D,20141001,000000,10.5845,10.5845,10.4214,10.5845,26695.138919338882,0
TXT,D,20141002,000000,10.5845,10.5845,10.521,10.5731,69424.32636594988,0
TXT,D,20141003,000000,10.5845,10.5845,10.3657,10.3696,86523.15716869048,0
TXT,D,20141006,000000,10.3523,10.6652,10.3523,10.6652,32328.012245880112,0
TXT,D,20141007,000000,10.6711,10.6711,10.4567,10.6417,43462.49628978166,0
TXT,D,20141008,000000,10.6711,10.6711,10.4336,10.6417,55493.30711485072,0
TXT,D,20141009,000000,10.6711,10.6711,10.6417,10.6417,21312.828187290484,0
TXT,D,20141010,000000,10.6711,10.7006,10.6417,10.6417,22829.797645007755,0
TXT,D,20141013,000000,10.6711,10.7707,10.6711,10.7573,20046.53007519214,0
TXT,D,20141014,000000,10.7307,10.7573,10.6137,10.6137,54990.76816122598,0
TXT,D,20141015,000000,10.6711,10.6711,10.4117,10.5332,666.9804438620121,0
TXT,D,20141016,000000,10.6364,10.7074,10.4404,10.7074,70084.66320351954,0
TXT,D,20141017,000000,10.7307,10.7573,10.7006,10.7006,8035.588080858249,0
TXT,D,20141020,000000,10.7006,10.7006,10.7006,10.7006,26.520049606346923,0
TXT,D,20141021,000000,10.7006,10.7006,10.7006,10.7006,17295.017834192447,0
TXT,D,20141022,000000,10.7526,10.7526,10.7006,10.7006,17471.41216069739,0
TXT,D,20141023,000000,10.7006,10.7006,10.7006,10.7006,17479.35099290137,0
TXT,D,20141024,000000,10.7006,10.7006,10.5278,10.7006,3594.8010979770343,0
TXT,D,20141027,000000,10.7526,10.7526,10.6939,10.6939,184.3146710174894,0
TXT,D,20141028,000000,10.6939,10.6939,10.6939,10.6939,6.630023276699339,0
TXT,D,20141029,000000,10.6939,10.6939,10.6939,10.6939,3.978018316064647,0
