<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VIN,D,20090323,000000,4.56105,6.38554,4.56105,5.47325,38797.7397027886,0
VIN,D,20090324,000000,5.08735,5.47325,4.61713,5.47325,2705.933898152784,0
VIN,D,20090325,000000,5.05228,5.96441,5.05228,5.20656,4564.999692795672,0
VIN,D,20090326,000000,5.19252,5.61356,4.77156,5.61356,2226.5970361942727,0
VIN,D,20090327,000000,5.26272,5.26272,5.26272,5.26272,712.4634747224206,0
VIN,D,20090330,000000,5.05228,5.61356,5.05228,5.26272,1981.5762084934202,0
VIN,D,20090331,000000,5.59953,5.95037,5.59953,5.71874,4698.214900089397,0
VIN,D,20090401,000000,5.47325,5.71874,5.47325,5.68377,813.5643016863639,0
VIN,D,20090402,000000,5.68377,5.75397,5.68377,5.75397,3618.22018381572,0
VIN,D,20090403,000000,5.94331,5.94331,5.5083,5.5083,5226.318043289326,0
VIN,D,20090406,000000,5.88723,5.8943,5.52227,5.52227,2008.9329028483428,0
VIN,D,20090407,000000,5.52227,5.96441,5.52227,5.95735,4218.878038130886,0
VIN,D,20090408,000000,5.96441,6.31516,5.54345,5.61356,5599.79639230914,0
VIN,D,20090409,000000,5.61356,5.92936,5.26272,5.29779,3672.933572525565,0
VIN,D,20090414,000000,5.33284,5.47325,5.26272,5.26272,13410.727341393742,0
VIN,D,20090415,000000,5.95735,5.95735,5.28374,5.46611,10977.170965297371,0
VIN,D,20090416,000000,5.33991,5.33991,4.71549,4.89775,14371.7799082998,0
VIN,D,20090417,000000,5.05228,5.10148,4.87682,4.87682,5147.816224705552,0
VIN,D,20090420,000000,4.91188,4.91188,4.52589,4.52589,3375.5781991021963,0
VIN,D,20090421,000000,4.49084,4.49084,4.31546,4.31546,1427.3057924322343,0
VIN,D,20090422,000000,4.38566,4.49084,4.38566,4.45578,2691.660840228384,0
VIN,D,20090423,000000,4.6943,4.6943,4.61005,4.61005,3519.4981998391163,0
VIN,D,20090424,000000,4.80646,4.80646,4.61713,4.61713,208.14876139636883,0
VIN,D,20090427,000000,4.77156,5.05228,4.77156,5.05228,387.75140694408657,0
VIN,D,20090428,000000,4.99621,4.99621,4.84168,4.84168,305.6813238792334,0
VIN,D,20090429,000000,4.84168,5.05228,4.8347,4.8347,3495.7097699652936,0
VIN,D,20090430,000000,5.19252,5.19252,4.32252,4.32252,6621.509455391766,0
VIN,D,20090504,000000,5.18554,5.19252,4.73651,4.73651,11179.372619225665,0
VIN,D,20090505,000000,5.1784,5.1784,4.80646,4.80646,1072.8581873115847,0
VIN,D,20090506,000000,4.74348,4.84168,4.56105,4.84168,3775.223820983269,0
VIN,D,20090507,000000,5.05228,5.05228,4.70129,4.70129,4545.968948896613,0
VIN,D,20090508,000000,4.99621,4.99621,4.58207,4.81377,2802.2770391419526,0
VIN,D,20090511,000000,4.8347,4.8347,4.49789,4.56105,9869.819554668878,0
VIN,D,20090512,000000,4.5539,4.5539,4.40651,4.42072,7764.543510831261,0
VIN,D,20090513,000000,4.49789,4.49789,4.2102,4.2102,9807.969636996728,0
VIN,D,20090514,000000,4.42072,4.42072,4.25223,4.25223,2640.5157159996384,0
VIN,D,20090515,000000,4.2804,4.2804,4.24526,4.24526,635.1510776323427,0
VIN,D,20090518,000000,4.49084,4.49084,4.24526,4.24526,3416.0185298877477,0
VIN,D,20090519,000000,4.42072,4.42072,4.15412,4.15412,5559.356061523482,0
VIN,D,20090520,000000,4.3575,4.3575,4.15412,4.17513,135.594050281066,0
VIN,D,20090521,000000,4.17513,4.2804,4.17513,4.2804,2380.0324088807215,0
VIN,D,20090522,000000,4.3575,4.3575,4.3575,4.3575,2.3788429873870576,0
VIN,D,20090525,000000,4.24526,4.24526,4.13991,4.13991,986.0304182719243,0
